OBJ_Critical= 0.37                                                                
fOBJ  LF0 r0  fINP  VP  PAR1  KP1 PAR2  PAR3  Qmax  Kba Kdes  rE  pEP fpEM  fD  gD  Vg  alpha KD  Yg  Ygsl  Q10 gamma beta  WPA2D tau wdorm VNup_MB KsNH4_MB  KsNO3_MB  Vnit  Vdenit  PAR4
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010675  0.01400004  1.94685685  0.88036491  0.19660701  0.01558806  0.01008491  0.00010006  0.34285518  0.00122405  1.70002562  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010715  0.01405717  1.95382995  0.8781528 0.19692455  0.0155382 0.01005632  0.00010006  0.34136126  0.00135274  1.70110117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010515  0.01487165  1.86916216  0.893923  0.19978169  0.01493247  0.01000114  0.00010006  0.32644492  0.00126165  1.70065172  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010511  0.01445145  1.89707562  0.88265913  0.19481054  0.01533042  0.01000473  0.00010006  0.33396579  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010671  0.01411386  1.91008531  0.89402303  0.20659967  0.01522892  0.01004996  0.00010006  0.33410411  0.00125718  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010801  0.01411386  1.90992666  0.89402303  0.20364003  0.01522892  0.01003473  0.00010006  0.33275319  0.00125718  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010732  0.01445592  1.90247964  0.88871263  0.20109221  0.01515709  0.01000954  0.00010006  0.33078861  0.00136613  1.70023105  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010801  0.01423483  1.90992666  0.88890811  0.20364003  0.01525651  0.01003473  0.00010006  0.33275319  0.00141694  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010705  0.01454213  1.88016232  0.88899358  0.20165027  0.015073  0.01000813  0.00010006  0.3279213 0.00137046  1.70090185  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010694  0.01440252  1.91929698  0.88561673  0.20008188  0.01528414  0.01000774  0.00010006  0.33382103  0.0013725 1.70120371  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010658  0.01407313  1.93357986  0.88519 0.19549924  0.01552309  0.01003499  0.00010006  0.33894181  0.00152231  1.70029522  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010582  0.01445592  1.93508215  0.88871263  0.19852483  0.01515709  0.01000954  0.00010006  0.33078861  0.00127532  1.70023105  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010734  0.01422 1.91443938  0.88443217  0.19948346  0.0154033 0.01005182  0.00010006  0.33712436  0.00140818  1.70052964  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010931  0.01461824  1.88276746  0.89025298  0.20279103  0.01513823  0.01002653  0.00010006  0.32989824  0.0015996 1.70094095  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010715  0.01455475  1.90141149  0.88561689  0.20140515  0.01519884  0.01001179  0.00010006  0.33148002  0.0013689 1.70189612  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010714  0.01467598  1.88232849  0.8851758 0.20119533  0.01514547  0.01002056  0.00010006  0.32985294  0.00133227  1.70152574  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010725  0.01454666  1.89417404  0.88697085  0.2010262 0.01514092  0.01001987  0.00010006  0.33108184  0.00141276  1.70135442  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010735  0.01445145  1.90985816  0.88265913  0.19869433  0.01533042  0.01002995  0.00010006  0.33437058  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010861  0.01445145  1.91665484  0.88265913  0.2005486 0.01533042  0.01003101  0.00010006  0.33447899  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010647  0.01445145  1.9069957 0.88265913  0.19556701  0.01533042  0.01001044  0.00010006  0.33447548  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010793  0.01445145  1.92831006  0.88265913  0.20016365  0.01533042  0.01002969  0.00010006  0.33495541  0.00146946  1.70047954  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010901  0.01453069  1.89702114  0.8909267 0.20586863  0.01505367  0.01003046  0.00010006  0.32898008  0.00133163  1.70194677  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010589  0.01389279  1.94116746  0.8845322 0.19487525  0.01558133  0.01005089  0.00010006  0.34062421  0.00160859  1.70003315  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010721  0.01432179  1.92889209  0.88236962  0.19821816  0.01539236  0.0100463 0.00010006  0.33750105  0.00137061  1.70080695  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010851  0.01467454  1.89643452  0.89164193  0.20112131  0.01511628  0.01003414  0.00010006  0.3324668 0.00155637  1.70079184  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010715  0.01405717  1.95382995  0.8781528 0.19692455  0.0155382 0.01005632  0.00010006  0.34136126  0.00135274  1.70110117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010515  0.01487165  1.86916216  0.893923  0.19978169  0.01493247  0.01000114  0.00010006  0.32644492  0.00126165  1.70065172  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010567  0.01402827  1.88791545  0.8973465 0.2037499 0.01514314  0.01003638  0.00010006  0.33166656  0.00124275  1.70030825  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010625  0.01402327  1.91410275  0.88935623  0.20015132  0.01540037  0.01003369  0.00010006  0.33605821  0.00132435  1.7009856 0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.000106  0.01397391  1.9096713 0.89348825  0.21313049  0.01525775  0.01002681  0.00010006  0.33447043  0.00112382  1.70051484  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010737  0.01374549  1.87232456  0.89648225  0.22059422  0.0153257 0.01003851  0.00010006  0.33750979  0.00115259  1.70094402  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
